state_province,population
Mexico,16992418
Mexico City,9209944
Jalisco,8348151
Veracruz,8062579
Puebla,6583278
Guanajuato,6166934
Nuevo Leon,5784442
Chiapas,5543828
Michoacan,4748846
Oaxaca,4132148
Baja California,3769020
Chihuahua,3741869
Guerrero,3540685
Tamaulipas,3527735
Coahuila,3146771
Hidalgo,3082841
Sinaloa,3026943
Sonora,2944840
San Luis Potosi,2822255
Tabasco,2402598
Queretaro,2368467
Yucatan,2320898
Morelos,1971520
Quintana Roo,1857985
Durango,1832650
Zacatecas,1622138
Aguascalientes,1425607
Tlaxcala,1342977
Nayarit,1235456
Campeche,928363
Baja California Sur,798447
Colima,731391
